@relation futbol
@attribute qEquiposLiga real
@attribute qEquiposMundial real
@attribute posLigaLocal real
@attribute puntosLocal real
@attribute plantillaLocal real
@attribute capacidadEstadioLocal real
@attribute posiciónRankingLocal real
@attribute rojasLocal real
@attribute golesFavorLocal real
@attribute golesEncajadosLocal real
@attribute partidosMesLocal real
@attribute promEdadLocal real
@attribute posLigaVisita real
@attribute puntosVisita real
@attribute plantillaVisita real
@attribute capacidadEstadioVisita real
@attribute posiciónRankingVisita real
@attribute rojasVisita real
@attribute golesFavorVisita real
@attribute golesEncajadosVisita real
@attribute partidosMesVisita real
@attribute promEdadVisita real
@attribute resultado {L, E, V}
@data
1.0000,0.9515,0.4737,0.0667,0.1463,0.1817,0.8089,1.0000,0.0455,0.6875,0.3846,0.4033,0.0000,0.4667,0.2424,0.3285,0.1911,1.0000,0.3043,0.4667,0.3333,0.5447,E
1.0000,0.9515,0.4737,0.4000,0.1463,0.1817,0.8741,1.0000,0.2273,0.3125,0.3077,0.4033,0.7368,0.5333,0.1515,0.2087,0.5175,1.0000,0.3478,0.4000,0.2500,0.4860,L
1.0000,0.9515,0.5789,0.5333,0.1463,0.1817,0.8741,1.0000,0.3636,0.3125,0.2308,0.4033,0.8947,0.6667,0.0000,0.2538,0.9161,1.0000,0.3913,0.2667,0.2500,0.4385,L
1.0000,0.9515,0.6842,1.0000,0.1463,0.1817,0.7669,1.0000,0.4545,0.1875,0.2308,0.4033,0.9474,1.0000,0.2727,0.8073,0.9930,0.5000,0.7826,0.0667,0.2500,0.3352,V
1.0000,0.9515,0.6842,0.4667,0.1463,0.1817,0.7669,1.0000,0.3636,0.5625,0.3077,0.4033,0.4211,0.2000,0.1515,0.3034,0.0816,1.0000,0.2609,0.8000,0.0833,0.5140,V
1.0000,0.9515,0.6316,0.2667,0.1463,0.1817,0.7669,1.0000,0.2273,0.6875,0.1538,0.4033,0.7895,0.4667,0.3030,0.3903,0.4406,1.0000,0.3478,0.3333,0.1667,0.3003,V
1.0000,0.9515,0.5263,0.0667,0.1463,0.1817,0.8042,0.5000,0.0909,0.7500,0.2308,0.4033,0.3684,0.0667,0.3030,0.3390,0.0909,1.0000,0.2174,0.6667,0.4167,0.6131,L
1.0000,0.9515,0.6842,0.2667,0.1463,0.1817,0.8042,1.0000,0.3182,0.7500,0.1538,0.4033,0.3684,0.3333,0.3333,0.2761,0.2541,0.5000,0.2609,0.6000,0.2500,0.5363,V
1.0000,0.9515,0.5263,0.3333,0.1463,0.1817,0.7879,1.0000,0.3182,0.3125,0.1538,0.4033,0.6316,0.2667,0.0909,0.5420,0.9347,1.0000,0.1739,0.6000,0.1667,0.3966,E
1.0000,0.9515,0.4737,0.2000,0.1463,0.1817,0.7879,1.0000,0.1364,0.3750,0.1538,0.4033,0.7895,0.2000,0.2121,0.4060,0.3543,1.0000,0.2174,0.4667,0.2500,0.3925,E
1.0000,0.9515,0.3684,0.2000,0.1463,0.1817,0.7622,1.0000,0.1818,0.4375,0.1538,0.4033,0.8421,0.2000,0.3030,0.5420,0.8904,1.0000,0.1739,0.5333,0.2500,0.5866,V
1.0000,0.9515,0.2105,0.0667,0.1463,0.1817,0.7622,1.0000,0.2727,0.7500,0.0769,0.4033,0.7895,0.5333,0.2727,0.4426,0.9114,1.0000,0.3043,0.4000,0.0833,0.4707,L
1.0000,0.9515,0.1053,0.2000,0.1463,0.1817,0.7389,1.0000,0.2273,0.6250,0.1538,0.4033,0.0000,0.0000,0.2121,0.1758,0.3217,0.5000,0.0870,0.7333,0.1667,0.4274,L
1.0000,0.9515,0.1579,0.4000,0.1463,0.1817,0.7389,1.0000,0.1818,0.5000,0.2308,0.4033,0.3158,0.6000,0.2424,0.2824,0.2331,1.0000,0.3478,0.4667,0.2500,0.8338,L
1.0000,0.6388,0.0000,0.1333,0.1951,0.2887,0.1911,1.0000,0.1364,0.5000,0.1538,0.5112,0.1579,0.2667,0.3030,0.2374,0.1911,1.0000,0.1739,0.6000,0.1667,0.5070,E
1.0000,0.6388,0.0000,0.1333,0.1951,0.2887,0.1911,0.5000,0.1364,0.4375,0.0769,0.5112,0.8947,0.7333,0.4545,1.0000,0.9977,1.0000,0.3913,0.2667,0.3333,0.3464,V
1.0000,0.6388,0.0000,0.3333,0.1951,0.2887,0.1911,0.5000,0.2273,0.4375,0.1538,0.5112,0.6842,0.6667,0.1515,0.2087,0.5734,1.0000,0.3478,0.3333,0.1667,0.4860,L
1.0000,0.6388,0.0526,0.4667,0.1951,0.2887,0.1911,1.0000,0.2727,0.4375,0.3077,0.5112,0.7368,0.8000,0.2727,0.4426,0.9464,1.0000,0.6957,0.4000,0.5000,0.4707,V
1.0000,0.6388,0.0000,0.3333,0.1951,0.2887,0.1911,0.5000,0.3182,0.5000,0.3077,0.5112,0.8947,0.4667,0.0000,0.2538,0.8974,1.0000,0.3478,0.4000,0.4167,0.4385,V
1.0000,0.6167,0.0000,0.1333,0.1951,0.2887,0.2028,1.0000,0.1818,0.5625,0.1538,0.5112,0.9474,0.8000,0.2727,0.8073,0.9767,1.0000,0.6522,0.4000,0.3333,0.3352,V
1.0000,0.8458,0.0000,0.2000,0.1951,0.2887,0.2751,1.0000,0.1364,0.5000,0.0769,0.5112,0.5789,0.4000,0.1515,0.3034,0.0816,1.0000,0.3478,0.8000,0.0833,0.5140,L
1.0000,0.8458,0.0000,0.3333,0.1951,0.2887,0.2751,1.0000,0.1818,0.5625,0.0769,0.5112,0.1579,0.2000,0.3333,0.2318,0.0816,1.0000,0.1739,0.8667,0.2500,0.6634,L
1.0000,0.8458,0.1053,0.4667,0.1951,0.2887,0.2751,1.0000,0.1818,0.5000,0.0769,0.5112,0.3684,0.2000,0.3030,0.3390,0.2168,1.0000,0.2174,0.7333,0.3333,0.6131,L
1.0000,0.8282,0.2632,0.8000,0.1951,0.2887,0.1888,1.0000,0.2727,0.3750,0.1538,0.5112,0.1579,0.2000,0.3333,0.2761,0.2541,1.0000,0.1304,0.4667,0.1667,0.5363,E
1.0000,0.8282,0.1579,0.6667,0.1951,0.2887,0.1888,1.0000,0.2727,0.2500,0.1538,0.5112,0.4737,0.0000,0.0909,0.5420,0.9604,0.5000,0.0435,0.6000,0.2500,0.3966,V
1.0000,0.8150,0.1053,0.3333,0.1951,0.2887,0.2051,1.0000,0.1818,0.3125,0.1538,0.5112,0.7368,0.4000,0.2121,0.4060,0.3543,1.0000,0.3043,0.3333,0.1667,0.3925,L
1.0000,0.8150,0.1579,0.2667,0.1951,0.2887,0.2051,1.0000,0.1364,0.3125,0.2308,0.5112,0.8947,0.4667,0.3030,0.5420,0.9254,1.0000,0.2174,0.4000,0.4167,0.5866,L
1.0000,0.8238,0.1579,0.4000,0.1951,0.2887,0.2960,1.0000,0.3182,0.3750,0.0769,0.5112,0.2632,0.1333,0.1818,0.2176,0.7622,1.0000,0.2609,0.7333,0.0833,0.4441,L
1.0000,0.8238,0.1053,0.4000,0.1951,0.2887,0.2960,0.5000,0.3182,0.3750,0.0769,0.5112,0.0000,0.0667,0.2121,0.1758,0.3730,1.0000,0.1739,0.8000,0.0833,0.4274,L
1.0000,0.8590,0.2632,0.6000,0.1951,0.2887,0.1818,1.0000,0.3182,0.4375,0.1538,0.5112,0.2105,0.2000,0.2424,0.2824,0.2331,1.0000,0.1739,0.5333,0.1667,0.8338,V
1.0000,0.8590,0.1053,0.4000,0.1951,0.2887,0.1818,1.0000,0.2727,0.5000,0.2308,0.5112,0.6316,0.2667,0.3030,0.3903,0.1818,1.0000,0.2609,0.5333,0.2500,0.3003,L
1.0000,0.9515,0.6842,0.3333,0.0732,0.4946,0.9883,1.0000,0.2273,0.5000,0.3077,0.3523,0.7368,0.4667,0.1818,0.2176,0.8182,1.0000,0.2609,0.4000,0.3333,0.4441,L
1.0000,0.9515,0.6316,0.6000,0.0732,0.4946,0.9883,1.0000,0.5000,0.3125,0.2308,0.3523,0.2105,0.5333,0.2121,0.1758,0.1911,1.0000,0.3043,0.3333,0.1667,0.4274,E
1.0000,0.9515,0.5789,0.5333,0.0732,0.4946,0.9907,1.0000,0.3636,0.3125,0.4615,0.3523,0.4211,0.4667,0.2424,0.2824,0.3497,1.0000,0.3478,0.4667,0.3333,0.8338,L
1.0000,0.9515,0.7368,0.6667,0.0732,0.4946,0.9907,1.0000,0.4545,0.3750,0.3846,0.3523,0.8421,0.5333,0.3030,0.3903,0.3706,1.0000,0.2174,0.2667,0.3333,0.3003,V
1.0000,0.9515,0.6316,0.4000,0.0732,0.4946,0.9930,1.0000,0.5000,0.6250,0.2308,0.3523,0.4211,0.6667,0.3030,0.3390,0.2704,1.0000,0.2609,0.1333,0.1667,0.6131,L
1.0000,0.9515,0.7368,0.6667,0.0732,0.4946,0.9814,1.0000,0.3182,0.1875,0.2308,0.3523,0.3158,0.4667,0.3333,0.2761,0.0816,1.0000,0.1739,0.4667,0.0833,0.5363,E
1.0000,0.9515,0.7368,0.3333,0.0732,0.4946,0.9814,1.0000,0.1818,0.5000,0.3077,0.3523,0.6316,0.3333,0.1515,0.2087,0.3520,0.5000,0.5652,0.8000,0.1667,0.4860,L
1.0000,0.9515,0.6842,0.2000,0.0732,0.4946,0.9814,1.0000,0.2273,0.5625,0.3846,0.3523,0.7368,0.5333,0.2121,0.4060,0.4942,1.0000,0.3478,0.3333,0.2500,0.3925,V
1.0000,0.9515,0.6316,0.2000,0.0732,0.4946,0.9604,1.0000,0.1364,0.4375,0.3077,0.3523,0.8421,0.8667,0.3030,0.5420,0.9650,1.0000,0.4348,0.2667,0.1667,0.5866,V
1.0000,0.9515,0.5789,0.2000,0.0732,0.4946,0.9604,1.0000,0.0909,0.5000,0.1538,0.3523,0.6842,0.4667,0.2727,0.4426,0.9044,1.0000,0.2174,0.3333,0.5000,0.4707,E
1.0000,0.9515,0.6316,0.3333,0.0732,0.4946,0.9347,1.0000,0.2273,0.5000,0.2308,0.3523,0.8421,0.6000,0.0000,0.2538,0.9790,1.0000,0.2609,0.2667,0.4167,0.4385,L
1.0000,0.9515,0.6842,0.6000,0.0732,0.4946,0.9347,1.0000,0.4091,0.3750,0.2308,0.3523,0.9474,0.8667,0.2727,0.8073,0.9953,1.0000,0.6522,0.0667,0.4167,0.3352,V
1.0000,0.9515,0.6316,0.5333,0.0732,0.4946,0.8648,1.0000,0.4545,0.5000,0.0769,0.3523,0.3158,0.0667,0.1515,0.3034,0.0932,1.0000,0.1739,0.6667,0.0833,0.5140,L
1.0000,0.9515,0.6842,0.5333,0.0732,0.4946,0.8648,1.0000,0.5000,0.5000,0.0769,0.3523,0.5789,0.7333,0.3333,0.2318,0.0932,1.0000,0.3478,0.2667,0.0833,0.6634,L
1.0000,0.9515,0.7368,0.8667,0.0732,0.4946,0.8368,1.0000,0.5909,0.3125,0.1538,0.3523,0.3158,0.8667,0.2424,0.3383,0.1818,1.0000,0.3913,0.3333,0.1667,0.6383,V
1.0000,0.9515,0.6842,0.4667,0.0732,0.4946,0.8368,1.0000,0.3636,0.5000,0.1538,0.3523,0.0526,0.2667,0.3333,0.2761,0.0746,1.0000,0.3043,0.6667,0.2500,0.6676,L
1.0000,0.9515,0.4211,0.4667,0.2683,0.2381,0.1911,0.5000,0.2273,0.3125,0.1538,0.6432,0.9474,1.0000,0.0000,0.2538,0.9254,1.0000,0.4348,0.2667,0.2500,0.4385,E
1.0000,0.9515,0.3684,0.4000,0.2683,0.2381,0.1911,1.0000,0.2273,0.3750,0.1538,0.6432,1.0000,0.8667,0.2727,0.8073,0.9837,1.0000,0.7826,0.2000,0.2500,0.3352,V
1.0000,0.9515,0.1579,0.1333,0.2683,0.2381,0.1911,1.0000,0.1818,0.6250,0.3077,0.6432,0.6842,0.6000,0.1515,0.3034,0.1911,1.0000,0.3913,0.4000,0.3333,0.5140,L
1.0000,0.9515,0.3158,0.2000,0.2683,0.2381,0.1911,0.5000,0.2273,0.8125,0.2308,0.6432,0.2632,0.2000,0.3333,0.2318,0.1911,1.0000,0.3043,0.4667,0.3333,0.6634,L
1.0000,0.9515,0.3158,0.4000,0.2683,0.2381,0.2028,1.0000,0.3182,0.5625,0.1538,0.6432,0.1579,0.6000,0.2424,0.3383,0.2028,1.0000,0.3478,0.5333,0.1667,0.6383,L
1.0000,0.9515,0.3684,0.4667,0.2683,0.2381,0.0816,1.0000,0.3182,0.3750,0.0769,0.6432,0.7368,0.6000,0.0909,0.5420,0.9930,1.0000,0.2609,0.1333,0.3333,0.3966,L
1.0000,0.9515,0.4211,0.2667,0.2683,0.2381,0.0816,1.0000,0.1818,0.5625,0.1538,0.6432,1.0000,0.8000,0.4545,1.0000,0.9977,1.0000,0.7826,0.2667,0.5000,0.3464,V
1.0000,0.9515,0.2632,0.2000,0.2683,0.2381,0.0909,1.0000,0.1818,0.6875,0.1538,0.6432,0.4211,0.6667,0.2424,0.3285,0.2751,1.0000,0.2174,0.4000,0.1667,0.5447,L
1.0000,0.9515,0.2632,0.2000,0.2683,0.2381,0.0909,1.0000,0.0909,0.6250,0.1538,0.6432,0.5263,0.2667,0.1818,0.2176,0.8042,0.5000,0.2609,0.6000,0.1667,0.4441,E
